"","Date_monthrounded","AvgCa_mg.L","AvgMg_mg.L","AvgNa_mg.L","AvgSpC_uS.cm"
"257",1997-05-01,6.6,2.58,9.14,115
"258",1997-06-01,5.87,2.36,8.89,102
"259",1997-07-01,6.265,3.025,16.15,157.5
"260",1997-08-01,5.435,2.895,15.8,152
"261",1997-09-01,6.45,2.87,14.1,149
"262",1997-10-01,7.18,2.91,17.4,169
"263",1997-11-01,NA,NA,NA,NA
"264",1997-12-01,6.65,2.73,11.11,135.5
"265",1998-01-01,3.87,1.71,5.32,75
"266",1998-02-01,3.77,1.58,4.48,66
"267",1998-03-01,3.86,1.56,4.23,64
"268",1998-04-01,4.99,2.14,5.04,79
"269",1998-05-01,4.78,2.29,7.33,90
"270",1998-06-01,NA,NA,NA,NA
"271",1998-07-01,5.255,2.75,14.75,144.5
"272",1998-08-01,5.79,2.43,9.5,114
"273",1998-09-01,8.1,3.03,15.9,164
"274",1998-10-01,8.32,3.07,16,169
"275",1998-11-01,8.13,3.26,16.5,163
"276",1998-12-01,6.98,2.67,13.4,150
"277",1999-01-01,4.49,1.88,5.9,88
"278",1999-02-01,5.76,2.5,8.27,106
"279",1999-03-01,5.28,2.36,8.66,106
"280",1999-04-01,5.1,2.65,10,114
"281",1999-05-01,5.88,2.64,11.6,127
"282",1999-06-01,6.72,2.82,13,145
"283",1999-07-01,5.62,2.38,9.89,119
"284",1999-08-01,7.16,2.9,15.1,143
"285",1999-09-01,2.85,1.11,1.97,46
"286",1999-10-01,4.27,1.72,4.51,71
"287",1999-11-01,6.04,2.54,9.66,118
"288",1999-12-01,5.99,2.36,8.97,116
"289",2000-01-01,5.21,2.05,8.18,101
"290",2000-02-01,5,1.98,7.42,95
"291",2000-03-01,5.2,2.07,8.05,97
"292",2000-04-01,5.5,2.41,10.5,120
"293",2000-05-01,5.09,2.61,10.1,117
"294",2000-06-01,6.64,2.85,12.9,141
"295",2000-07-01,5.49,2.56,11.3,123
"296",2000-08-01,5.99,2.63,7.83,101
"297",2000-09-01,5.25,2.06,6.52,98
"298",2000-10-01,7.81,2.7,11.7,141
"299",2000-11-01,8.49,2.99,16.1,162
"300",2000-12-01,6.63,2.54,11.8,138
"301",2001-01-01,6.63,2.5,14.1,142
"302",2001-02-01,5.75,2.3,10.9,116
"303",2001-03-01,4.08,1.64,5.33,76
"304",2001-04-01,6.02,2.45,8.48,108
"305",2001-05-01,6.75,2.76,16.1,155
"306",2001-06-01,4.74,1.77,5.07,74
"307",2001-07-01,6.31,2.45,14.8,138
"308",2001-08-01,6.07,2.41,10.1,112
"309",2001-09-01,6.34,2.41,9.44,112
"310",2001-10-01,NA,NA,NA,NA
"311",2001-11-01,NA,NA,NA,NA
"312",2001-12-01,NA,NA,NA,NA
"313",2002-01-01,NA,NA,NA,NA
"314",2002-02-01,NA,NA,NA,NA
"315",2002-03-01,NA,NA,NA,NA
"316",2002-04-01,NA,NA,NA,NA
"317",2002-05-01,NA,NA,NA,NA
"318",2002-06-01,NA,NA,NA,NA
"319",2002-07-01,NA,NA,NA,NA
"320",2002-08-01,NA,NA,NA,NA
"321",2002-09-01,NA,NA,NA,NA
"322",2002-10-01,NA,NA,NA,NA
"323",2002-11-01,NA,NA,NA,NA
"324",2002-12-01,NA,NA,NA,NA
"325",2003-01-01,NA,NA,NA,NA
"326",2003-02-01,NA,NA,NA,NA
"327",2003-03-01,NA,NA,NA,NA
"328",2003-04-01,NA,NA,NA,NA
"329",2003-05-01,NA,NA,NA,NA
"330",2003-06-01,NA,NA,NA,NA
"331",2003-07-01,NA,NA,NA,NA
"332",2003-08-01,NA,NA,NA,NA
"333",2003-09-01,NA,NA,NA,NA
"334",2003-10-01,NA,NA,NA,NA
"335",2003-11-01,NA,NA,NA,NA
"336",2003-12-01,NA,NA,NA,NA
"337",2004-01-01,NA,NA,NA,NA
"338",2004-02-01,NA,NA,NA,NA
